track_id,main_artist_id,released_date,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,track_name,track_popularity,other_artists,track_image_url,lyrics,main_artist_name,main_artist_popularity,main_artist_genre,main_artist_image_url
02WbmXcfVEPDOZH91K8OtL,6jGMq4yGs7aQzuGsMgVgZR,2023-10-20,-8.524,130.041,0.11,4.0,1.0,I Should've Known,66,Kyle Richh,https://i.scdn.co/image/ab67616d0000b273e8de6f467dcf831337d7429a,"[Intro: Lil Tjay]<br>Mm-mmm-mm<br>Mm<br>Ayy, Nxrre<br><br>[Verse 1: Kyle Richh]<br>Grah<br>Heart been broke, it's the reason I'm cold<br>Tru-trust on E, like, I'm tryna see if you fold<br>Like why would you lie?<br>It's okay, now your feelings exposed<br>I don't love like your regular guy<br>If my feelings is hurt, I might just do the most<br>Bitch, why you so pretty?<br>I think my weakness is under her clothes<br>Like, I'm in love with her moan<br>She Caribbean, I should've known<br>And she my baby, I make sure she froze<br>And she don't accept Louis, she'd rather a rose<br>Think back on the past<br>Losing my peace, that's the life that I chose<br><br>[Verse 2: Lil Tjay & Kyle Richh]<br>Big up, I gotta be easy<br>Always thought you was never gon' fold (Fold)<br>Heatin' up, put my heart on the stove<br>I remember when you said you'll ride 'til we old<br>I be tryna play cool, but my feelings exposed<br>You could blame it on me but you know (You know)<br>You would blame it on me if you could<br>I'ma do what I do, be a ho<br>Now I don't care<br>Fuck it, it's up in the air, one nigga touch, I'ma flare<br>Try me I dare<br>Switch on me, probably now, I see a opp, I do not spare<br>Bitch you was there (Grah)<br>Made you duck in the chair<br>You know niggas wan' kill me (Kill me)<br>Think she tryna put me in the trap<br>These niggas pussy, they probably gon' rat<br>I'm tryna run it up, save all the stacks<br>That's why it's plaque, after plaque, after plaque<br>Know you won't stay if I went did the bid<br>Type not to pick up and say that you napped<br>Type to be ventin' to me, how you love me?<br>Meanwhile you lettin' some other nigga crack<br>I know it's facts, bitch<br>You might also like[Verse 3: Kyle Richh]<br>Fuck, I gave you my all<br>Strokin' a gun with my back on the wall<br>If you not gonna slide, then you better provide<br>These niggas want me to fall<br>Why everybody relyin' on me?<br>Is it real, is shit a façade?<br>Can't feel my face, fuck, I'm so misunderstood<br>Take drugs to get out of this world<br>Don't regret every risk that I took<br>I can't cry, put the pain in a 'Wood<br>Why would I die for some fame in the hood? (Why would I die?)<br>(Why would I die for some fame in the—?)<br><br>[Outro: Kyle Richh & Lil Tjay]<br>Know niggas wan' kill me<br>Why would I die?<br>Fuck it, it is what is is11",Lil Tjay,78,"brooklyn drill, melodic rap, nyc rap, rap",https://i.scdn.co/image/ab6761610000e5eb61a229ac35bdd68d42bffe32
0m9cSkuwYOCUWCf48IS5ds,6jGMq4yGs7aQzuGsMgVgZR,2023-07-07,-6.539,137.487,0.163,4.0,1.0,Project Walls,65,YoungBoy Never Broke Again,https://i.scdn.co/image/ab67616d0000b273577fe749b8d699fd71cb20c0,"[Intro]<br>Makin' me go crazy now, oh, I know<br>Yeah, I want it, I-I-I-I, I wanna know<br><br>[Chorus: Lil Tjay]<br>Roaches, project walls, dead broke, I've seen all<br>Tryna change my life, damn near tried it all<br>Know some want me dead, locked up in the feds<br>I strive for better<br><br>[Verse 1: Lil Tjay]<br>'Member when I was broke<br>Runnin' 'round hungry, no coat<br>Probably fried or put up on the dope<br>Never had money, so I got the bag and went dummy<br>Had shit to cop up with my notes, freestylin' quotes<br>Came from the bottom, it's possible, over work was my approach<br>These niggas ghosts<br>Stick to the ones that gon' love you for you, if not, you're gon' be toast<br>Niggas be jokes, gotta stay woke<br>They want my spot, that's why I do the most<br>This from the dome, sometimes, I turn to wrong<br>But I can't leave it 'lone, it got me coast to coast<br>Still check in a lot to make sure mama proud<br>We clearin' two-hundred fifty, Rolling Loud<br>Been sellin' out bigger shows, bigger crowds<br>Still, I don't know how<br>My fans tell me they miss me, ""Tjay, can you drown?<br>Please don't play around<br>Focus on your sound, put on for the towns""<br>Tryna reach places I can't pronounce<br>Pockets clutchin', been up, I can't frown<br>Thank you, Lord, why You do it for me?<br>Know it's many you see, they like never go down<br>You might also like[Chorus: Lil Tjay]<br>Roaches, project walls, dead broke, I've seen all<br>Tryna change my life, damn near tried it all<br>Know some want me dead, locked up in the feds<br>I strive for better<br><br>[Verse 2: YoungBoy Never Broke Again]<br>Those just federal walls, I've seen that before ('Fore)<br>I'm so gone, on God, eyes don't cry no more (More, oh)<br>Fake shit tear me down, all the way to my core (My core)<br>Play for the second time around, no, I don't need that ho<br>Tell 'em to try it again, them niggas, they thought I was finished, yeah<br>Pullin' right up in a Benz, I gotta make sure that they hear me, yeah (Ooh)<br>Tell 'em, ""I don't need no friends,"" I'm runnin' up all the millions<br>Got my back, I don't need no hand, we swerve on all them niggas<br>Have 'em spray the fan in front of my fam', I have 'em up all the switches<br>I ain't showin' my hand, part of my plan, I'm handlin' all the business<br>And I handle her too, they just saw me down, I've seen that before<br>I heard gun shots 'round, I'm not worried no more<br><br>[Chorus: Lil Tjay]<br>Roaches, project walls, dead broke, I've seen all<br>Tryna change my life, damn near tried it all<br>Know some want me dead, locked up in the feds<br>I strive for better<br>[Outro]<br>Makin' me go crazy now, oh, I know<br>Yeah, I want it, I-I-I-I, I wanna know1",Lil Tjay,78,"brooklyn drill, melodic rap, nyc rap, rap",https://i.scdn.co/image/ab6761610000e5eb61a229ac35bdd68d42bffe32
045o0OHz10mgb98wPkq1eO,75VKfyoBlkmrJFDqo1o2VY,2023-10-20,-6.472,125.961,0.726,4.0,1.0,YAWA - Lagos Mix,38,Clayton William,https://i.scdn.co/image/ab67616d0000b2738e03af029e72c4d863931f7e,Aucunes paroles trouvées pour cette chanson.,Fireboy DML,69,"afrobeats, afropop, nigerian pop",https://i.scdn.co/image/ab6761610000e5eb883c0730c0ea767039cec6db
05mDaV9Vb3wrzjF6OPZnhq,246dkjvS1zLTtiykXe5h60,2019-09-06,-3.618,132.113,0.534,4.0,0.422,Saint-Tropez,74,,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,"[Intro]<br>Ooh, yeah, yeah, hey<br><br>[Chorus]<br>Such a long time (Wow)<br>I've been waitin', I've been waitin' for a long time (Yeah)<br>Such a long time<br>I've been waitin', I've been waitin' for a long time (Yeah)<br>Such a long time (Ooh)<br><br>[Verse 1]<br>Ooh, this shit bliss, I'm so rich (Turnt as shit, ooh)<br>Abs like Abercrombie Fitch (Damn, ooh)<br>Mille, on my (Whoa, wrist, wrist)<br>Versace boxers on my dick (On my dick, damn)<br>Bud Light runnin' through my piss (Ooh)<br>On a yacht, 50 meters, it's offish (It's official)<br>50 carats on my fist (On my fist)<br>The roof go down when I hit switch (Ooh, bitch)<br>I money ball like Bradley Pitt (Bradley Pitt, ayy)<br>I worked so hard for all this shit (All this shit)<br>Pumpin' out classics (Ooh)<br>In the Batmobile, goin' bat shit<br><br>[Chorus]<br>Such a long time (Damn)<br>I've been waitin', I've been waitin' for a long time (Such a long time)<br>Such a long time (Such a long time)<br>I've been waitin', I've been waitin' for a long time (For a long time)<br>Such a long time<br>You might also like[Verse 2]<br>I'm in Saint-Tropez, I had to check wrist (Wow)<br>I just bought my girl a new necklace (A new necklace)<br>One, two, three, four, five, six (Five, six)<br>I'll take 'em all, don't matter what the price is (What the price is)<br>I said I'm sorry mama for my vices (For my vices)<br>You'll never understand what my life is (My life is)<br>One, two, three, four, five, six (Damn)<br>Shit, I'm checking off my bucket list (My bucket list)<br>You try to give advice, I don't need it<br>I've been doin' what I want since fetus<br>What you call a holiday (Ooh), I call another day (Yeah)<br>And I ain't ever stoppin', no apologies<br><br>[Chorus]<br>Such a long time (Such a long time)<br>I've been waitin', I've been waitin' for a long time (Such a long time)<br>Such a long time (Such a long time)<br>I've been waitin', I've been waitin' for a long time (A long time)<br>Such a long time<br><br>[Outro]<br>I'm in Saint-Tropez, I had to check wrist47",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
0gWrMbx6pbdH3n3nsLjE55,246dkjvS1zLTtiykXe5h60,2023-05-19,-4.568,74.013,0.0,4.0,0.733,Mourning,76,,https://i.scdn.co/image/ab67616d0000b2736e9e05bbdd7988ae66e0b898,"[Chorus]<br>Don't wanna sober up<br>The sun is killin' my buzz, that's why they call it mourning<br>Thought I was strong enough<br>Threw my bottle at the sky, said, ""God, that's a warning""<br>Don't wanna sober up<br>Try to keep it inside, but I just wanna pour it<br>Thought I was strong enough<br>Got a lotta shit to say, couldn't fit it in the chorus<br><br>[Verse 1]<br>I just left Wally's, spent a Maserati<br>The way I gotta flex, you'd think I did Pilates<br>I call my quote-unquote friends, ""Do you got plans?""<br>Turns out everyone's free when the dinner is<br>Then they drag me to a party out in Malibu<br>After thirty High Noons, it was pretty cool<br>Tried to shoot my shot, she told me that she had a shoot<br>Bye-bye (Damn)<br><br>[Chorus]<br>Don't wanna sober up<br>The sun is killin' my buzz, that's why they call it mourning<br>Thought I was strong enough<br>Threw my bottle at the sky, said, ""God, that's a warning""<br>Don't wanna sober up<br>Try to keep it inside, but I just wanna pour it<br>Thought I was strong enough<br>Got a lotta shit to say, couldn't fit it in the chorus<br>You might also like[Verse 2]<br>Stumblin' down the corridor, came across an open door<br>Throwin' up is easy and who put on the Commodores?<br>That's a nice tile floor, wish I got to know you more<br>Who am I talkin' to? Nobody<br>Take me outside, I'm a little too high<br>Paid a little too much for the time of my life<br>When money ain't a problem, everyone's lyin'<br>Even when I tell myself that I<br><br>[Chorus]<br>Don't wanna sober up<br>The sun is killin' my buzz, that's why they call it mourning<br>Thought I was strong enough<br>Threw my bottle at the sky, said, ""God, that's a warning""<br>Don't wanna sober up<br>Try to keep it inside, but I just wanna pour it<br>Thought I was strong enough<br>Got a lotta shit to say, couldn't fit it in the chorus5",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
1nltpRhEiXikwDlVn4UADk,246dkjvS1zLTtiykXe5h60,2022-06-03,-5.411,97.023,0.47,4.0,1.0,One Right Now,73,The Weeknd,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,"[Intro: The Weeknd]<br>Na-na-na-na, na-na<br>Na-na-na-na, oh no<br>Yeah, yeah<br><br>[Chorus: The Weeknd & Post Malone]<br>Said you love me, but I don't care<br>That I broke my hand on the same wall<br>That you told me that he fucked you on (Oh)<br>You think it's so easy fuckin' with my feelings<br>I got one comin' over and one right now (Uh)<br>One right now<br>(One right now, one right now, oh)<br>I got one comin' over and one right now<br><br>[Verse 1: Post Malone]<br>Said you wanna have my babies<br>I fucked you so good, you should pay me<br>Don't call me ""baby"" when you did me so wrong<br>(When you did me so wrong)<br>But I got over what you did already<br>Body for a body, I’m so petty<br>How many of your friends fit in my Rolls? (Can you fit in my Rolls?)<br>Bought you a new face, you should call me ""Dad,"" baby<br>Hermès, but you dropped the bag, baby<br>Truth is, maybe one's just not еnough<br>You might also like[Chorus: Post Malone & The Weeknd]<br>You say you love me, but I don't care<br>That I brokе my hand on the same wall<br>That you told me that he fucked you on (That he fucked you on)<br>You think it's so easy fuckin' with my feelings (Feelings)<br>I got one comin' over and one right now (Uh)<br>One right now (Yeah, yeah, yeah)<br>(One right now, one right now, oh yeah)<br>I got one comin' over and one right now (Yeah, yeah, yeah)<br>(One right now, one right now, oh)<br>I got one comin' over and one right now<br><br>[Verse 2: The Weeknd]<br>You're a stain on my legacy<br>We can't be friends, can't be family (Oh)<br>You probably fuck all my enemies (Oh)<br>I can't let you be next to me<br>Oh, you belong to the world now<br>So just leave me alone now<br>We're not in touch no more<br><br>[Chorus: Post Malone & The Weeknd, Post Malone, The Weeknd]<br>You say you love me, but I don't care (No, I don't care)<br>That I broke my hand on the same wall<br>That you told me that he fucked you on (Oh)<br>You think it's so easy fuckin' with my feelings (Feelings)<br>I got one comin' over and one right now<br>One right now (Oh yeah, oh yeah, oh yeah)<br>(Fuckin' with my, fuckin' with my feelings)<br>I got one comin' over and one right now<br>(Ooh yeah, oh yeah, oh yeah)<br>(One right now)<br>I got one comin' over and one right now<br>[Outro: Post Malone & The Weeknd, Post Malone, The Weeknd]<br>(Hey)<br>(One right now, one right now)<br>(Ooh yeah)<br>I got one comin' over and one right now33",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
21jGcNKet2qwijlDFuPiPb,246dkjvS1zLTtiykXe5h60,2019-09-06,-3.497,120.042,0.746,4.0,0.995,Circles,89,,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,"[Intro]<br>Oh, oh, oh<br>Oh, oh, oh<br>Oh, oh, oh, oh, oh<br><br>[Verse 1]<br>We couldn't turn around 'til we were upside down<br>I'll be the bad guy now, but know I ain't too proud<br>I couldn't be there even when I tried<br>You don't believe it, we do this every time<br><br>[Chorus]<br>Seasons change and our love went cold<br>Feed the flame 'cause we can't let go<br>Run away, but we're running in circles<br>Run away, run away<br>I dare you to do something<br>I'm waiting on you again, so I don't take the blame<br>Run away, but we're running in circles<br>Run away, run away, run away<br><br>[Verse 2]<br>Let go, I got a feeling that it's time to let go<br>I said so, I knew that this was doomed from the get-go<br>You thought that it was special, special<br>But it was just the sex, though, the sex, though<br>And I still hear the echoes (The echoes)<br>I got a feeling that it's time to let it go, let it go<br>You might also like[Chorus]<br>Seasons change and our love went cold<br>Feed the flame 'cause we can't let go<br>Run away, but we're running in circles<br>Run away, run away<br>I dare you to do something<br>I'm waiting on you again, so I don't take the blame<br>Run away, but we're running in circles<br>Run away, run away, run away<br><br>[Bridge]<br>Maybe you don't understand what I'm going through<br>It's only me, what you got to lose?<br>Make up your mind, tell me, what are you gonna do?<br>It's only me, let it go<br><br>[Chorus]<br>Seasons change and our love went cold<br>Feed the flame 'cause we can't let go<br>Run away, but we're running in circles<br>Run away, run away<br>I dare you to do something<br>I'm waiting on you again, so I don't take the blame<br>Run away, but we're running in circles<br>Run away, run away, run away211",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
32vE1nuG8T9c8bhmZdRY6d,246dkjvS1zLTtiykXe5h60,2022-06-03,-5.619,93.923,0.192,4.0,1.0,Cooped Up,73,Roddy Ricch,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,"[Intro: Post Malone]<br>Mm-mm-mm<br><br>[Chorus: Post Malone]<br>I'm about to pull up<br>Hit switch, pull curtain (Hit switch, pull curtain)<br>And I been waitin' so long<br>Now I gotta resurface (I gotta resurface)<br>And yeah, we 'bout to toast up<br>All that bread that we burnin' (Burnin', burnin', burnin')<br>'Cause I been feelin' cooped up (Yeah)<br>I been fuckin' cooped up (Mm-mm-mm)<br><br>[Verse 1: Post Malone]<br>Yeah, I'm off the Bud Light, not the bourbon (Mm)<br>I might chop the roof off the Suburban (Skrrt)<br>Tried to Bia Nice Guy, John Terzian (Wow)<br>'Til I started throwin' up in your Birkin (Ooh)<br>Then I woke up in the mornin' (I woke up in the)<br>Police showed up at my door with a warrant (Fuck that shit)<br>I remember flushin' somethin' down the toilet (Flush, flush)<br>Guess you gotta let me off with a warnin'<br>Return of the Mack (Ah)<br>Feelin' like an outcast, I'm the only guy in slacks<br>That'll cost you three stacks (Three stacks, three stacks)<br>Now you're savin' that check, why you takin' my swag?<br>Can you give me that back?<br>Gucci my Prada, Miyake (Ooh)<br>Louis, Bottega, and Tommy<br>All of these things on my body, let's party (Ah, ah, ah)<br>You might also like[Chorus: Post Malone]<br>I'm about to pull up<br>Hit switch, pull curtain (Hit switch, pull curtain)<br>And I been waitin' so long<br>Now I gotta resurface (I gotta resurface)<br>And yeah, we 'bout to toast up<br>All that bread that we burnin' (Burnin', burnin', burnin')<br>'Cause I been feelin' cooped up (Yeah)<br>I been fuckin' cooped up (Cooped up, mm-mm-mm)<br><br>[Verse 2: Roddy Ricch]<br>Shit, gotta pull up<br>Pull up, I'ma pull up<br>I pull up, ayy<br>Got black minx all on the rug, woah, woah<br>Got hella hoes poppin' drugs, woah, woah<br>In every hood, they show us love, woah, woah<br>Partner in crime with me while we whippin' in the spaceship<br>Got it out the pavement, now we gettin' payment<br>Everybody 'round me gettin' money, it's too contagious<br>Kept it solid, now we real rich to they amazement<br>I pulled up the Black Badge 'cause it was cleaner<br>I 'member I was just posted up with the demons<br>And Posty took me on my first damn tour dates<br>He had me rockin' every night, sold out arenas<br>A project nigga, I never thought I would see shit<br>I tried to tell you, you prolly wouldn't believe us<br>[Chorus: Post Malone]<br>I'm about to pull up<br>Hit switch, pull curtain (Hit switch, pull curtain)<br>And I been waitin' so long<br>Now I gotta resurface (I gotta resurface)<br>And yeah, we 'bout to toast up<br>All that bread that we burnin' (Burnin', burnin', burnin')<br>'Cause I been feelin' cooped up (Yeah)<br>I been fuckin' cooped up (Cooped up, mm-mm-mm)<br><br>[Bridge: Post Malone]<br>'Til the daylight come, 'til the daylight come<br>I got Saké in my tummy, cigarette in my lungs<br>It's eleven in the mornin' and we still ain't done<br>And I'm still that bitch, so what?<br><br>[Outro: Post Malone]<br>Yeah, we 'bout to toast up<br>All that bread that we burnin' (Burnin', burnin', burnin')<br>'Cause I been feelin' cooped up (Yeah)<br>I been fuckin' cooped up (Cooped up, mm-mm-mm)16",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
40uMIn2zJLAQhNXghRjBed,246dkjvS1zLTtiykXe5h60,2021-07-09,-3.818,129.915,0.668,4.0,0.995,Motley Crew,76,,https://i.scdn.co/image/ab67616d0000b2733520e90ee2daf6000ab507cb,"[Intro]<br>(d.a. got that dope)<br><br>[Chorus]<br>Count up the bands stickin' up<br>No rubber band is big enough<br>Chain is so heavy, can't pick it up<br>Came with the gang, a myriad<br>I seen your whip, hilarious<br>Where is my roof? Mysterious<br>My whip from Fast & Furious<br>Curtains with yellow interior<br>I get the commas, period<br>Covered in ice, Siberia<br>I'm at the top of the pyramid<br>Bitch, I'm a star, I'm Sirius<br>We came to play, are you serious?<br>Came with the gang, a myriad<br>Came with the gang, a myriad<br>Came with the motley crew<br><br>[Verse 1]<br>Sit up, ball, I just forgot where I was<br>Pour it up, throw it up, sit up, woah<br>Get up, bitch, get up, bitch, get up<br>Came with a wig splitter<br>I got John Wick hitters (Ooh)<br>I'm a go-get-gеtter (Wow, uh)<br>You might also like[Pre-Chorus]<br>Came with the army, army, army, yеah<br>The people 'round me still the same<br>We just wanna party, party, party, yeah<br>We rowdy and won't never change<br><br>[Chorus]<br>Count up the bands stickin' up<br>No rubber band is big enough<br>Chain is so heavy, can't pick it up<br>Came with the gang, a myriad<br>I seen your whip, hilarious<br>Where is my roof? Mysterious<br>My whip from Fast & Furious<br>Curtains with yellow interior<br>I get the commas, period<br>Covered in ice, Siberia<br>I'm at the top of the pyramid<br>Bitch, I'm a star, I'm Sirius<br>We came to play, are you serious?<br>Came with the gang, a myriad<br>Came with the gang, a myriad<br>Came with the motley crew<br><br>[Verse 2]<br>What you gon' do? I'ma pull up with the crew<br>When I'm off the juice, I like to hang out the roof<br>I'm rockin' jewels, I like when the diamonds, they move<br>I just go through, I do not wait in the queue<br>Baby, baby, pinky, Brady, Brady<br>AP navy, navy, chain like two Mercedes<br>I'll come when they pay me, come with Katy, Amy<br>Crew go crazy, crazy, kick it, Dan Bailey (Uh)<br>[Pre-Chorus]<br>Came with the army, army, army, yeah<br>The people 'round me still the same<br>We just wanna party, party, party, yeah<br>We rowdy and won't never change<br><br>[Chorus]<br>Count up the bands stickin' up<br>No rubber band is big enough<br>Chain is so heavy, can't pick it up<br>Came with the gang, a myriad<br>I seen your whip, hilarious<br>Where is my roof? Mysterious<br>My whip from Fast & Furious<br>Curtains with yellow interior<br>I get the commas, period<br>Covered in ice, Siberia<br>I'm at the top of the pyramid<br>Bitch, I'm a star, I'm Sirius<br>We came to play, are you serious?<br>Came with the gang, a myriad<br>Came with the gang, a myriad<br>Came with the motley crew53",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
4IxeKzzxUSEgivgtbSbyIK,246dkjvS1zLTtiykXe5h60,2022-06-03,-6.012,79.782,0.04,4.0,1.0,I Cannot Be,67,Gunna,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,"[Intro: Post Malone]<br>Oh, oh, oh, mmm<br><br>[Chorus: Post Malone]<br>How am I free when you hold me so tight?<br>How can I beam when you blocking my light?<br>I cannot be what you want me<br>What you want me, what you want me to be<br>How can I see when you cover my eyes?<br>And can I just sleep when I'm so fucking tired?<br>So tell me right now what you want me<br>What you want me, what you want me to be<br><br>[Verse 1: Post Malone]<br>Yeah, ooh, what you wanna do is tell me off, no<br>What you wanna do is fuck me up, ooh<br>What you not gonna do is top me off<br>So excuse me for an hour while I love myself<br>You told me, you'd protect my heart, you'd be my goalie<br>Thinkin' 'bout the bullshit that you sold me<br>And I know that I ain't perfect, but you so mean<br>We were homies<br>You trip me up just to watch me fall<br>Smoke another cigarette, wash the last one down<br>So down, down, 'til I'm flat on my face<br>You're the reason why I get so high<br>You might also like[Chorus: Post Malone]<br>How am I free when you hold me so tight?<br>How can I beam when you blocking my light?<br>I cannot be what you want me<br>What you want me, what you want me to be<br>How can I see when you cover my eyes?<br>And can I just sleep when I'm so fucking tired?<br>So tell me right now what you want me<br>What you want me, what you want me to be<br><br>[Verse 2: Gunna]<br>Got a custom diamond ring and no, he don't got a wife<br>Got a large amount of things, I can't total the price<br>I told her I don't need her, she can leave out my life (Life)<br>You only get one try, but if it's lit, we go twice (Twice)<br>Uh, pull up in a hard top, it's a drop-top (Top)<br>Told you we'd be multimillionaires, why lie? (Lie)<br>She know I do not care for no pressin' my mind<br>The federal skeleton on my wrist say prime-time (Time)<br>How couldn't you just let me be me?<br>You starting to be measly (Measly)<br>I couldn't even find out 'cause you leavin' me<br>You can tell I'm pure, you can feel my energy (Energy)<br>Really rich, we ain't living free<br>Got to keep it solid, and we all agree<br>[Chorus: Post Malone]<br>How am I free when you hold me so tight?<br>How can I beam when you blocking my light?<br>I cannot be what you want me<br>What you want me, what you want me to be<br>How can I see when you cover my eyes?<br>And can I just sleep when I'm so fucking tired?<br>So tell me right now what you want me<br>What you want me, what you want me to be<br><br>[Outro: Post Malone]<br>Ooh, ah, ah, ah, ah5",Post Malone,87,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
